description	log10pvalue	representative
immune system process	7.6615	immune system process
response to stress	24.6003	response to stress
response to oxygen-containing compound	9.8297	response to stress
regulation of signaling	9.5272	response to stress
response to endoplasmic reticulum stress	8.6003	response to stress
regulation of response to stimulus	14.0635	response to stress
intracellular signal transduction	13.4841	response to stress
response to abiotic stimulus	7.9788	response to stress
cellular response to chemical stimulus	12.5528	response to stress
cell surface receptor signaling pathway	9.399	response to stress
response to endogenous stimulus	7.8477	response to stress
cellular response to stress	18.4425	response to stress
response to oxidative stress	10.6308	response to stress
regulation of signal transduction	11.71	response to stress
metabolic process	58.5287	metabolism
catabolic process	17.6968	catabolism
cellular process	39.8794	cellular process
developmental process	10.51	developmental process
growth	8.5544	growth
locomotion	12.4179	locomotion
macromolecular complex subunit organization	37.0405	macromolecular complex subunit organization
protein-DNA complex subunit organization	10.6216	macromolecular complex subunit organization
single-organism organelle organization	19.7447	macromolecular complex subunit organization
membrane organization	8.9706	macromolecular complex subunit organization
cellular component assembly	30.1506	macromolecular complex subunit organization
supramolecular fiber organization	22.3507	macromolecular complex subunit organization
cellular component biogenesis	36.5784	macromolecular complex subunit organization
regulation of cellular component biogenesis	14.2034	macromolecular complex subunit organization
macromolecular complex disassembly	8.6556	macromolecular complex subunit organization
organelle fission	9.015	macromolecular complex subunit organization
nucleosome organization	9.5017	macromolecular complex subunit organization
regulation of organelle organization	21.5513	macromolecular complex subunit organization
regulation of supramolecular fiber organization	11.9469	macromolecular complex subunit organization
mitochondrion organization	11.1463	macromolecular complex subunit organization
organelle organization	36.4248	macromolecular complex subunit organization
cellular component disassembly	8.699	macromolecular complex subunit organization
regulation of cellular component organization	29.3915	macromolecular complex subunit organization
single-organism process	21.0334	single-organism process
localization	40.1073	localization
cellular localization	22.1618	cellular localization
transport	33.3675	cellular localization
mitochondrial transport	7.7212	cellular localization
regulation of cellular component movement	17.7077	cellular localization
hydrogen ion transmembrane transport	8.0757	cellular localization
regulation of localization	16.3575	cellular localization
endocytosis	11.2204	cellular localization
organic substance transport	14.163	cellular localization
nitrogen compound transport	13.9136	cellular localization
vesicle-mediated transport	9.8182	cellular localization
protein localization	20.2684	cellular localization
macromolecule localization	21.5452	cellular localization
amide transport	13.2668	cellular localization
peptide transport	13.4067	cellular localization
single-organism localization	15.5784	cellular localization
single-organism cellular localization	7.8041	cellular localization
localization of cell	13.1169	cellular localization
cellular component organization or biogenesis	54.4789	cellular component organization or biogenesis
biosynthetic process	28.9469	biosynthesis
cell death	21.0915	cell death
monocarboxylic acid metabolic process	10.8508	cell death
nucleobase-containing small molecule metabolic process	14.7545	cell death
carboxylic acid biosynthetic process	8.4306	cell death
cellular lipid metabolic process	9.426	cell death
cellular respiration	17.0325	cell death
