% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.,,,,,,
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive ,,,,,
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.,,,,,
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.,,,,
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0005575,cellular_component,100.00%,-5.6271,1,0,cellular_component
GO:0005576,extracellular region,2.38%,-30.1898,0.992,0,extracellular region
GO:0005623,cell,53.55%,-111.0195,0.996,0,cell
GO:0005739,mitochondrion,2.16%,-73.5214,0.606,0,mitochondrion
GO:0005694,chromosome,1.51%,-6.4461,0.619,0.633,mitochondrion
GO:0034399,nuclear periphery,0.07%,-2.7057,0.634,0.64,mitochondrion
GO:0051233,spindle midzone,0.02%,-4.7447,0.641,0.641,mitochondrion
GO:0043228,non-membrane-bounded organelle,8.41%,-37.8697,0.693,0.609,mitochondrion
GO:0043234,protein complex,6.42%,-38.4634,0.804,0.571,mitochondrion
GO:0005737,cytoplasm,26.02%,-144.6517,0.757,0.439,mitochondrion
GO:0043231,intracellular membrane-bounded organelle,13.76%,-107.5702,0.569,0.692,mitochondrion
GO:0043229,intracellular organelle,19.92%,-126.644,0.607,0.457,mitochondrion
GO:0022626,cytosolic ribosome,0.19%,-23.3344,0.566,0.589,mitochondrion
GO:0005622,intracellular,41.18%,-151.1918,0.86,0.321,mitochondrion
GO:0000313,organellar ribosome,0.12%,-3.0762,0.561,0.56,mitochondrion
GO:0000323,lytic vacuole,0.26%,-8.1035,0.658,0.369,mitochondrion
GO:0042579,microbody,0.22%,-7.0128,0.674,0.362,mitochondrion
GO:0005829,cytosol,2.55%,-52.4962,0.686,0.481,mitochondrion
GO:0005840,ribosome,4.20%,-23.1135,0.455,0.528,mitochondrion
GO:0042641,actomyosin,0.02%,-2.6634,0.646,0.635,mitochondrion
GO:0099568,cytoplasmic region,0.27%,-5.4921,0.74,0.37,mitochondrion
GO:0005856,cytoskeleton,1.54%,-13.1938,0.618,0.635,mitochondrion
GO:0015934,large ribosomal subunit,0.56%,-16.4685,0.502,0.666,mitochondrion
GO:0031967,organelle envelope,1.26%,-35.6615,0.55,0.537,mitochondrion
GO:0005777,peroxisome,0.22%,-7.0128,0.657,0.362,mitochondrion
GO:0031970,organelle envelope lumen,0.09%,-3.1407,0.591,0.659,mitochondrion
GO:0005773,vacuole,0.46%,-8.6003,0.655,0.391,mitochondrion
