% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.,,,,,,
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive ,,,,,
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.,,,,,
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.,,,,
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0003735,structural constituent of ribosome,2.68%,-21.7799,0.984,0,structural constituent of ribosome
GO:0005200,structural constituent of cytoskeleton,0.08%,-3.7887,0.984,0.615,structural constituent of ribosome
GO:0003824,catalytic activity,65.83%,-39.1891,0.997,0,catalytic activity
GO:0005198,structural molecule activity,3.27%,-11.4597,0.99,0,structural molecule activity
GO:0005488,binding,55.66%,-69.0146,0.996,0,binding
GO:0005515,protein binding,4.41%,-59.0381,0.926,0,protein binding
GO:0009055,electron carrier activity,1.28%,-6.0334,0.99,0,electron carrier activity
GO:0015078,hydrogen ion transmembrane transporter activity,0.93%,-9.0128,0.896,0,hydrogen ion transmembrane transporter activity
GO:0044769,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism",0.36%,-6.4237,0.817,0.615,hydrogen ion transmembrane transporter activity
GO:0008121,ubiquinol-cytochrome-c reductase activity,0.04%,-3.4816,0.836,0.678,hydrogen ion transmembrane transporter activity
GO:0008094,DNA-dependent ATPase activity,0.59%,-3.3055,0.869,0.669,hydrogen ion transmembrane transporter activity
GO:0022804,active transmembrane transporter activity,2.83%,-2.3631,0.903,0.647,hydrogen ion transmembrane transporter activity
GO:0022853,active ion transmembrane transporter activity,0.92%,-2.4142,0.893,0.682,hydrogen ion transmembrane transporter activity
GO:0015297,antiporter activity,0.42%,-3.0173,0.902,0.624,hydrogen ion transmembrane transporter activity
GO:0016209,antioxidant activity,0.71%,-4.8356,0.99,0,antioxidant activity
GO:0016504,peptidase activator activity,0.01%,-4.8928,0.966,0,peptidase activator activity
GO:0008047,enzyme activator activity,0.31%,-4.1568,0.963,0.627,peptidase activator activity
GO:0061133,endopeptidase activator activity,0.00%,-3.1962,0.967,0.666,peptidase activator activity
GO:0016887,ATPase activity,4.56%,-11.2111,0.859,0,ATPase activity
GO:0016801,"hydrolase activity, acting on ether bonds",0.06%,-2.7896,0.938,0.222,ATPase activity
GO:0016791,phosphatase activity,1.02%,-2.3721,0.915,0.659,ATPase activity
GO:0016817,"hydrolase activity, acting on acid anhydrides",7.22%,-13.8539,0.906,0.408,ATPase activity
GO:0004115,"3',5'-cyclic-AMP phosphodiesterase activity",0.02%,-2.8966,0.936,0.196,ATPase activity
GO:0042578,phosphoric ester hydrolase activity,1.36%,-2.5016,0.914,0.448,ATPase activity
GO:0003924,GTPase activity,1.14%,-4.1662,0.878,0.663,ATPase activity
GO:0000146,microfilament motor activity,0.00%,-2.3851,0.919,0.38,ATPase activity
GO:0030228,lipoprotein particle receptor activity,0.00%,-4.4202,0.979,0,lipoprotein particle receptor activity
GO:0038024,cargo receptor activity,0.05%,-3.6237,0.983,0.396,lipoprotein particle receptor activity
GO:0045182,translation regulator activity,0.01%,-2.4022,0.99,0,translation regulator activity
GO:0098772,molecular function regulator,1.12%,-4.4123,0.99,0,molecular function regulator
GO:0016421,CoA carboxylase activity,0.10%,-3.8057,0.952,0.029,CoA carboxylase activity
GO:0004812,aminoacyl-tRNA ligase activity,1.06%,-3.5668,0.941,0.573,CoA carboxylase activity
GO:0016885,"ligase activity, forming carbon-carbon bonds",0.12%,-3.628,0.951,0.475,CoA carboxylase activity
GO:0016832,aldehyde-lyase activity,0.20%,-3.6456,0.945,0.031,aldehyde-lyase activity
GO:0016835,carbon-oxygen lyase activity,1.30%,-3.3781,0.938,0.608,aldehyde-lyase activity
GO:0016846,carbon-sulfur lyase activity,0.14%,-2.6233,0.946,0.503,aldehyde-lyase activity
GO:0004300,enoyl-CoA hydratase activity,0.05%,-2.6274,0.948,0.466,aldehyde-lyase activity
GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",0.75%,-3.5967,0.945,0.036,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016772,"transferase activity, transferring phosphorus-containing groups",8.50%,-3.708,0.932,0.446,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",4.70%,-3.1016,0.922,0.31,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0004683,calmodulin-dependent protein kinase activity,0.02%,-2.802,0.944,0.394,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0019200,carbohydrate kinase activity,0.25%,-2.6972,0.936,0.499,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0004674,protein serine/threonine kinase activity,1.00%,-2.7955,0.928,0.588,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0008443,phosphofructokinase activity,0.08%,-3.0207,0.936,0.443,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0008175,tRNA methyltransferase activity,0.21%,-2.838,0.95,0.223,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016741,"transferase activity, transferring one-carbon groups",3.04%,-2.5487,0.938,0.376,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0004364,glutathione transferase activity,0.03%,-3.8184,0.955,0.191,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016651,"oxidoreductase activity, acting on NAD(P)H",0.80%,-8.0386,0.89,0.036,"oxidoreductase activity, acting on NAD(P)H"
GO:0004601,peroxidase activity,0.38%,-3.5215,0.891,0.344,"oxidoreductase activity, acting on NAD(P)H"
GO:0004128,"cytochrome-b5 reductase activity, acting on NAD(P)H",0.02%,-3.8354,0.9,0.657,"oxidoreductase activity, acting on NAD(P)H"
GO:0015002,heme-copper terminal oxidase activity,0.21%,-3.2844,0.9,0.327,"oxidoreductase activity, acting on NAD(P)H"
GO:0016675,"oxidoreductase activity, acting on a heme group of donors",0.21%,-3.7585,0.9,0.326,"oxidoreductase activity, acting on NAD(P)H"
GO:0016679,"oxidoreductase activity, acting on diphenols and related substances as donors",0.11%,-2.7241,0.905,0.307,"oxidoreductase activity, acting on NAD(P)H"
GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",0.45%,-3.9618,0.895,0.351,"oxidoreductase activity, acting on NAD(P)H"
GO:0008137,NADH dehydrogenase (ubiquinone) activity,0.30%,-8.4401,0.878,0.337,"oxidoreductase activity, acting on NAD(P)H"
GO:0016646,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor",0.24%,-4.3325,0.899,0.33,"oxidoreductase activity, acting on NAD(P)H"
GO:0016645,"oxidoreductase activity, acting on the CH-NH group of donors",0.31%,-3.6964,0.898,0.338,"oxidoreductase activity, acting on NAD(P)H"
GO:0016722,"oxidoreductase activity, oxidizing metal ions",0.06%,-2.8035,0.908,0.293,"oxidoreductase activity, acting on NAD(P)H"
